frame,time_s,WRIST_x,WRIST_y,WRIST_speed_px_s,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_speed_px_s,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_speed_px_s,THUMB_IP_x,THUMB_IP_y,THUMB_IP_speed_px_s,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_speed_px_s,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_speed_px_s,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_speed_px_s,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_speed_px_s,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_speed_px_s,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_speed_px_s,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_speed_px_s,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_speed_px_s,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_speed_px_s,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_speed_px_s,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_speed_px_s,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_speed_px_s,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_speed_px_s,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_speed_px_s,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_speed_px_s,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_speed_px_s,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_speed_px_s
23,0.92,507.34325408935547,34.81102466583252,,512.7694320678711,26.531184911727905,,514.4241333007812,15.605608820915222,,512.0557022094727,6.841886043548584,,509.0423583984375,0.21643102169036865,,505.2524185180664,7.30787068605423,,501.1481475830078,-4.338138699531555,,500.3775405883789,-9.770477414131165,,500.3086853027344,-12.851209044456482,,501.4679718017578,8.492812514305115,,498.3539581298828,-3.107961416244507,,498.63597869873047,-8.122610449790955,,499.1933822631836,-11.058146953582764,,499.23030853271484,9.757595658302307,,496.9627380371094,-1.137012541294098,,497.6407241821289,-5.807744264602661,,498.5490417480469,-8.530234694480896,,498.175048828125,11.025452613830566,,496.38675689697266,1.258983314037323,,497.0281219482422,-3.823803663253784,,497.8803253173828,-6.769165992736816,
25,1.0,486.86710357666016,32.119739055633545,,491.2858200073242,22.479692101478577,,493.2577896118164,10.131137073040009,,494.23004150390625,0.3980695456266403,,494.20921325683594,-6.354784369468689,,483.3170700073242,2.3327285796403885,,480.63159942626953,-9.372943639755249,,477.7824401855469,-15.016148686408997,,475.0434875488281,-18.672510981559753,,478.87943267822266,3.4135088324546814,,474.8585510253906,-7.2440654039382935,,471.7311477661133,-12.512497007846832,,468.19759368896484,-16.295287013053894,,475.7779312133789,5.2044689655303955,,471.10206604003906,-4.265297949314117,,467.4772644042969,-8.775847256183624,,464.0475082397461,-12.304838597774506,,473.85387420654297,7.741404175758362,,468.6614227294922,0.8722214587032795,,465.50987243652344,-2.427702695131302,,462.8759765625,-4.864213764667511,
31,1.24,484.4050979614258,128.63396644592285,,477.52635955810547,112.16715574264526,,464.86881256103516,100.80250024795532,,452.862548828125,96.01412773132324,,445.0959014892578,96.7628002166748,,448.3284378051758,113.66101741790771,,436.35772705078125,103.66081237792969,,442.23445892333984,102.21575260162354,,448.6683654785156,104.84030485153198,,445.90282440185547,123.48635673522949,,435.7923889160156,115.36277532577515,,441.1476516723633,112.72647857666016,,446.86676025390625,114.38946962356567,,446.1495590209961,131.87579154968262,,436.73282623291016,125.2013111114502,,441.00101470947266,122.77772426605225,,446.3277816772461,124.70964431762695,,447.81028747558594,138.18484783172607,,439.37530517578125,134.37169075012207,,442.0220947265625,132.15256690979004,,446.5453338623047,133.24097156524658,
33,1.32,441.29608154296875,169.42492961883545,,451.11576080322266,149.54508304595947,,449.7028350830078,129.85612392425537,,440.19458770751953,117.99096822738647,,428.9595413208008,112.91615724563599,,452.1461868286133,119.26355123519897,,436.09596252441406,99.30780172348022,,430.8258819580078,104.09196853637695,,433.19217681884766,111.80520057678223,,440.0217819213867,120.93735694885254,,424.27459716796875,98.71686458587646,,420.79166412353516,105.17975807189941,,424.1767120361328,113.86548042297363,,427.50362396240234,125.53773880004883,,412.5931930541992,103.14492702484131,,411.2766647338867,109.8172402381897,,415.5189514160156,117.66333818435669,,415.3251266479492,132.08959579467773,,404.2469787597656,114.35402154922485,,404.24076080322266,119.67841386795044,,408.32950592041016,127.47788429260254,
34,1.36,433.2651138305664,176.12016677856445,261.3936722439272,441.06494903564453,157.53843784332275,321.0456919425737,440.7469177246094,136.1881971359253,274.207502277484,431.27323150634766,121.78017139434814,242.3177886432146,418.5631561279297,114.95157480239868,264.8439985502399,442.8806686401367,123.26494216918945,252.31547305359018,422.5716018676758,103.42313289642334,353.4157270804877,412.8927993774414,106.51874542236328,452.41345643101437,411.93859100341797,114.58133697509766,535.8532001140131,432.95841217041016,126.8675708770752,230.56808847048939,412.9956817626953,104.03858184814453,311.78378660022196,404.075927734375,107.88907527923584,423.34696376159815,403.36952209472656,116.78414583206177,525.2724061308362,420.7461929321289,134.44634914398193,279.53780199301116,401.6460418701172,110.0244927406311,323.234187050406,394.6076202392578,114.39610719680786,432.16248896439646,395.57994842529297,123.03614616394043,516.2550882615624,407.540283203125,144.36595916748047,363.4151251681016,392.5312805175781,123.88817310333252,377.62219144825235,387.90252685546875,125.59500217437744,434.41332976159276,389.12933349609375,132.2734022140503,494.74969255827153
35,1.4,431.28467559814453,186.25250816345215,258.101818005446,411.6987991333008,181.41749382019043,946.235988810833,395.16448974609375,164.44138526916504,1340.708856377104,383.4312057495117,148.1411075592041,1365.5947385675415,374.54044342041016,136.84515953063965,1229.1583213680885,412.657470703125,145.02804279327393,931.0861407228306,391.16954803466797,120.15227794647217,889.5059299397243,379.20738220214844,123.15869808197021,939.2800949355717,377.37972259521484,132.5251293182373,973.4908414146796,420.46627044677734,140.16846656799316,456.18487961571566,397.27222442626953,114.3372917175293,469.9006115553618,384.5165252685547,117.17508316040039,541.2948406304251,380.62591552734375,126.4704179763794,618.0086507008226,424.34814453125,138.17035675048828,129.52385874745275,401.94923400878906,113.37490797042847,84.10264444791014,390.1372528076172,116.42296314239502,122.70984576948993,386.2174987792969,124.6395206451416,237.46877834356917,424.98401641845703,138.40074062347412,460.88750034948544,408.36727142333984,118.64341735839844,417.04771219204264,397.84889221191406,118.77049684524536,301.56265600125255,393.3316421508789,124.30375099182129,225.2425618001326
36,1.44,428.6623764038086,196.91408157348633,274.48315139795324,411.90006256103516,193.8581371307373,311.05678033479484,390.85704803466797,179.49477195739746,391.43845691467243,370.8707809448242,166.86980724334717,563.7643917969133,354.5610809326172,158.04790019989014,728.3247632864911,404.8451614379883,152.55311965942383,271.17678492959794,374.2427444458008,131.95552825927734,515.8932772887858,357.4671173095703,133.52577209472656,602.1395919891796,352.9743194580078,139.45525646209717,634.2566340408165,407.0410919189453,150.35695552825928,421.3376954694615,375.4127883911133,129.66640949249268,667.4657273662942,359.9943542480469,132.12256908416748,717.967707752344,355.2052688598633,138.42584609985352,702.2915787835393,405.57125091552734,152.5284719467163,590.9352787342285,376.02283477783203,131.78768634796143,794.9876511081457,362.75665283203125,133.33648681640625,804.5823987069298,358.1882858276367,137.9988670349121,776.2525823835417,401.6233825683594,157.78165340423584,758.8391603684132,380.44410705566406,139.07063484191895,864.9329173494051,368.73531341552734,137.35021591186523,863.4257462746639,363.5633850097656,140.18606185913086,843.5034572044227
37,1.48,418.50086212158203,211.49831771850586,444.37900240222075,414.0309524536133,188.0688714981079,154.22444743667313,397.0709228515625,164.46159839630127,406.6698196618462,376.7372131347656,154.7411298751831,336.82324865962323,357.90233612060547,153.43148231506348,142.46776020956037,395.49320220947266,150.97858428955078,237.08951769690262,361.2314224243164,138.7410306930542,366.8595985059849,343.0656051635742,142.27286338806152,421.24455351464877,334.89696502685547,148.12923431396484,501.2662933787005,388.5674285888672,163.78791332244873,571.000691824434,351.40209197998047,147.22904205322266,743.7067653865664,336.5903091430664,150.52159309387207,744.2586125575094,332.0859909057617,157.45651245117188,748.6100766145748,380.05836486816406,181.41252994537354,963.4560709159041,344.25838470458984,164.7595739364624,1144.5866228698683,334.76261138916016,167.14641094207764,1097.376794248687,334.39109802246094,172.35623359680176,1044.8489078877803,371.0513687133789,201.11382007598877,1325.78389538456,346.148681640625,185.51260471343994,1443.310597624817,339.3114471435547,182.73837089538574,1352.2778281475223,338.4236145019531,183.46826076507568,1251.3384842138164
38,1.52,410.8104705810547,221.2657356262207,310.78989549871466,406.25003814697266,192.1221399307251,219.33366766489556,387.49610900878906,168.2944107055664,257.8365644185045,365.3902816772461,160.1095962524414,313.82049481490924,346.69612884521484,160.7591199874878,334.73250080974157,383.5569381713867,155.68734169006348,320.78691861166453,345.4988098144531,144.81694221496582,421.62764997249604,328.1461715698242,150.37200450897217,424.40074344210757,322.7711486816406,157.62351036071777,385.01355470443013,375.5272674560547,170.570969581604,367.4707935542117,333.79520416259766,154.088716506958,472.39921691373274,319.6917724609375,160.01393795013428,484.552082383478,319.1385078430176,168.5471534729004,426.20390948237275,366.76658630371094,189.35447216033936,387.09319255212284,326.53186798095703,172.07327842712402,479.400451429933,318.7196731567383,177.0161533355713,470.89521262911387,323.5081100463867,183.84005069732666,395.53561982905234,359.26414489746094,210.08821964263916,370.3701635428724,328.5518264770508,192.7097225189209,475.29452471190143,321.2544631958008,190.92209815979004,495.62338349521787,322.9556655883789,192.9472017288208,453.53318882628855
39,1.56,407.1726608276367,227.10362434387207,171.9640305444427,399.67750549316406,195.2483081817627,181.95314200910303,380.2666473388672,171.6115379333496,198.85366648959837,357.02404022216797,165.98394870758057,255.56556503648338,339.05269622802734,169.58723545074463,291.9307332293058,374.6422576904297,157.5494384765625,227.677036226546,333.0467224121094,149.00081634521484,328.40455559166554,317.105712890625,157.0345115661621,322.37471222768386,312.9990005493164,164.58499431610107,299.95534874080306,366.2215042114258,173.49726676940918,243.87553792411558,322.5860595703125,157.87970066070557,295.82140235359986,308.09885025024414,164.84571933746338,313.9884121648912,307.19226837158203,173.5371208190918,323.66303042761655,357.96680450439453,193.5431957244873,243.64621484391637,316.5610122680664,175.1778745651245,261.0752774911998,307.9327964782715,180.68927764892578,284.87777060720134,311.6259956359863,187.3401689529419,309.6726806899662,351.5998840332031,215.9202003479004,240.77075915423833,320.36598205566406,196.92764282226562,230.21579628757522,313.3621406555176,194.89890575408936,220.9408203031117,314.70611572265625,196.25741958618164,222.22260130643116
